_unit_id,comment_text
BSbL29JFbLODIZ5OZTcOh1q5Emg=,""":In an interpreted language your source code is read in command by command by a software tool, which is called the Interpreter and executed.

What ? Command-by-command ? No interpreter is using such crappy technique nowadays. Taw

 From Interpreted Language/Talk 
 
some languages (like Perl) are compiled at runtime

Could you elaborate ? Taw

Every time a perl script is run, Perl compiles it and then runs the compiled code. At least, this is the usual way of using perl, although it's not the only way. Zundark, 2001 Dec 15

You mean compile to syntactic tree or compile to machine code ? Taw

 I believe it's compiled to bytecode, much like Java. As of perl 5.6 (version?), it's possible to produce a bytecode version of a perl program to save the compilation step. I think the bytecode can be converted back to full source as well, but I'm not as sure about that. Indigo Perl (http://www.indigoperl.com) produces a perl compiler that produces a machine executable, but I think the resulting executable consists of both the actual bytecode and enough of the perl engine to run the bytecode, so they tend to be rather large. Their advantage is being able to deploy the code to machines that don't necessarily have the Perl interpreter installed.  They have versions for both Windows and Unix-ish platforms.  Wesley

 Old Interpreted Language article 

An interpreted language is a type of programming language that is not compiled into machine code, but is interpreted at run-time by the computer, and translated into machine understandable code as required.

It is often a mistake to refer to a language as either """"interpreted"""" or """"compiled"""", because
most languages can be implemented in either way, and some languages
(like Perl) are compiled at
runtime but behave as if they were interpreted.
Other languages, like Java, may be partially compiled into an
intermediate form which is then interpreted (although that, too, might be compiled).
Some languages, though, are specifically designed to favor interpretation.

An example of an interpreted language is JavaScript.

Is Java interpreted, or what? 

The Java programming language article says:

""""The first implementations of the language used an interpreted virtual machine to achieve portability, and many implementations still do. These implementations produce programs that run more slowly than the fully-compiled programs created by the typical C++ compiler and some later Java language compilers, so the language suffered a reputation for producing slow programs. More recent implementations of the Java VM produce programs that run much faster, using multiple techniques.""""

The Java language is compiled, always.  It is designed as a compiled language, and is implemented as a compiled language.  It is often compiled into bytecode, which is then interpreted (with a virtual machine).  I think the Java language article is correct, but maybe it could be worded better.  LDC

Yes, and you can also compile Jave straight down to machine code if you like. The above claim that it is a mistake to differentiate between interpreted and compiled languages is IMHO incorrect; every language that has an """"eval"""" statement which lets you construct and evaluate statements on the fly can never be cleanly compiled down to machine code; you will always have to embed an interpreter in your compiled code. AxelBoldt

Way too much mess here has been caused by lack of clear definition of """"compiling"""".
It is used in two distinct meanings, as in:
 compiled to machine code (or assembly)
 compiled to byte code/parse tree/some other internal representation

I think it's wrong to call languages that use the second way """"compiled"""". In such case there would be virtually no interpreted language in use - no language uses line-by-line parsing nowadays, all """"compile"""" source to some form of internal representation.

Quote from FOLDOC:
     Compiler

     A program that converts another program
     from some {source language} (or {programming language}) to
     {machine language} (object code).  Some compilers output
     {assembly language} which is then converted to {machine
     language} by a separate {assembler}.
     ...

"""
8yTwRuqiFtMqIFkPmzz12azQTA4=," 

Ok, that is a good idea H. Jonat "
emjPZ4bUnyWAQQkVqNiROtQVuO0=,"""I've heard it said that Charles Darwin did not want to publish his ideas because he felt it would hurt his wife, whom he loved.  She was not an evolutionist.

That could be part of the answer. At least, so much can be read in Darwin's original autobiography, which was first published in 1887, esp. in footnotes in the chapter about the development of his own religious convictions. Another reason (also clear from his ab) might be his frequent illnesses, and his zealous drive to publish as much as possible about other biological/zoological fields of research. He was always frustrated he could not do more.Fact is he produced an enormous amount of work!.
A third reason Darwin waited 19 years was that he simply was afraid of being 'prejudiced' (word quoted literally). His theory needed more time to ripen, so to speak. Anyway, maybe this is of some help. Anyone with more knowledge about it,please go ahead.

Imho the first sentence """"Contrary ..."""" should only appear later. One who does not know anything about Darwin reading this page should have a short introduction as first paragraph, not a negation of something assumed to """"be publicly known"""". (Yes, I am picky ;)

Framework is now in place for a good article, but a lot more work needs to be done. I'm going to get to this on and off over the next few weeks (hopefully), but anyonelse should feel free to wade in - however make sure your """"facts"""" come from works in the history of biology, not from popular works as these often make sweeping generalizations about Darwin. John Lynch
"""
s0+9Tp9NCGrAh8rd9CTu8cS1os4=,"know they both carry the weak force, but is this accurate?"
EbYltYF4iZe+Rre6zCqDCboJZLc=,"Please relate the ozone hole to increases in cancer, and provide figures. Otherwise, this article will be biased toward the environmentalist anti-CFC point of view instead of being neutral. Ed Poor"
ZJ4GIuvjTd/e+CHT6/cSrai/C3E=,"""

I fixed the link; I also removed """"homeopathy"""" as an exampleit's not anything like a legitimate protoscience, or even half-legit.  It's total pseudoscientific nonsense, and not taken seriously as many protosciences are.  I'm willing to tolerate a sympathetic and historical treatment of it on its own page, but pages about real science shouldn't be littered with frauds.  Lee Daniel Crocker
"""
24BnSxt3r77ngzUCjrZ07ICaVac=,"""If they are """"indisputable"""" then why does the NOAA dispute it? Note that the NOAA is the same source used by advocates of the CFC-ozone-UV-cancer connection. Is the NOAA trustworthy only when it supports an environmentalist position, and discreditable otherwise? Your comment  not mine  betrays a political agenda, and not a scientifically informed view. Ed Poor"""
aY+WyTy5LM8ZImu8XhNNYicLqEY=,"""-
This is not """"creative"""".  Those are the dictionary definitions of the terms """"insurance"""" and """"ensurance"""" as properly applied to """"destruction"""".  If you don't understand that, fine, legitimate criticism, I'll write up """"three man cell"""" and """"bounty hunter"""" and then it will be easy to understand why """"ensured"""" and """"insured"""" are different - and why both differ from """"assured"""".

The sentence you quote is absolutely neutral.  You just aren't familiar with the underlying theory of strike-back (e.g. submarines as employed in nuclear warfare) guiding the insurance, nor likely the three man cell structure that kept the IRA from being broken by the British.  If that's my fault, fine, I can fix that to explain.  But ther'es nothing """"personal"""" or """"creative"""" about it.

I'm tired of arguing with you.  Re: the other article, """"multi-party"""" turns up plenty, and there is more use of """"mutually"""" than """"mutual"""".  If I were to apply your standard I'd be moving """"Mutual Assured Destruction"""" to """"talk"""" for not appealing to a Reagan voter's biases about its effectiveness, and for dropping the """"ly"""".

There is a double standard in your edits.  If it comes from some US history book, like """"peace movement"""" or 'M.A.D.' as defined in 1950, you like it, even if the definition is totally useless in 2002 and only of historical interest.  

If it makes any even-obvious connection or implication from the language chosen in multiple profession-specific terms, you consider it somehow non-neutral...  Gandhi thinks """"eye for an eye"""" describes riots, death penalty, and war all at once, but you don't.  What do you know that Gandhi doesn't?

Guess what:  reality is not neutral.  Current use of terms is slightly more controversial.  Neutrality requires negotiation, and some willingness to learn.

This is your problem not mine.  You may dislike the writing, fine, that can be fixed.  But disregarding fundamental axioms of philosphy with names that recur in multiple phrases, or failing to make critical distinctions like 'insurance' versus 'assurance' versus 'ensurance' (which are made in one quote by an Air Force general in an in-context quote), is just a disservice to the reader.

If someone comes here to research a topic like MAD, they want some context, beyond history.

If this is a history book, fine, it's a history book.  But that wasn't what it was claimed to be...
"""
M1LhQgqy+9AA7wyGYc5uWvhXEKA=,"Wierd:

The even-indexed Euler numbers (except E0) are all zero.  Some other values are: E0 = 1 E2 = -1 E4 = 5 ..."
acPlD8xIkzEz2hQIbV117/d1adc=,"""

The concept of """"viral meme"""" is not a mainstream academic concept, and only merits the briefest mention in an encyclopedia.  """"Meme"""" is already treading on thin ground, but is at least well known enough to be semi-respectable.  """"Let's roll"""" isn't a concept at allit's a phrase that has made the news recently, and it's the title of a song, both of which deserve to be covered.  """"Move zig"""" is another phrase, probably meaning more or less the same thing, but it isn't worthy of inclusion here.  It isn't even a common enough idiom to be found in a dictionaryyou certainly wouldn't find it, say, in a New York Times used without reference to its source.  LDC
"""
19m+Cgo0gjo+EWsuzmPSwXR3scM=,"""I do not understand this sentence: """"Several authors have criticised the historical inaccuracies perpetrated upon Auschwitz [...]"""" It sounds a bit like Colorless green ideas sleep furiously to me. Can an innaccuracy be perpetrated?

Perhaps some elaboration is necessary to, because we don't know what innacuracies these are.branko
"""
8FpussSVSsz5sDbzFV5MKed8g/E=,"I think it is 1861.  James Clerk Maxwell used a color separation method to take three b/w photos through red green and blue filters.  Examples of photos using this technique by Prokudin-Gorskii can be seen at  http://www.loc.gov/exhibits/empire/     "
bD/liswvtKz8/ynApnXNrbucTrs=,"""

Can anyone provide any justification for the spelling """"Middle Earth"""" used throughout Wikipedia? Where in Tolkien's work is this spelling used? Everywhere I've looked he spells it """"Middle-earth"""" (hyphenated, with a lowercase e). Zundark, Friday, April 12, 2002

Since no one provided any justification, I've moved the main page. But we still need to fix the spelling in almost every Tolkien-related article. Zundark, Sunday, April 14, 2002"""
I5N1qOrKX++KVTg0neYvePh5WBs=,"Done. This entry is lond, I'll see about chopping it up later. maveric149"
OpXZERfuy67YInvYN16Oq+OhEZw=,"""The actual idea behind time-out is to get the parent to cool-off. They are the real problem in a confrontation. It's rare that children need to """"cool off"""".

The theory behind adult time-outs is that you deprive the child of your attention. Of course, in our electronic gadget society where children hardly ever see their parents anyways, that accomplishes nothing. So as a replacement for spending time with one's child and paying attention to them most of the time, someone invented the """"child time-out"""" as a form of punishment instead. This is not an acceptable trade-off and that's why child time-outs are bad. They're still better than physical abuse of course.  Ark"""
8KbQjmBpjGNJusOXL65XC9jYmRg=,"""Hello there, welcome to the 'pedia! I hope you like the place and decide to stay. If you need any questions answered about the project then check out Wikipedia:Help or drop me a line. BTW, nice additions and copyedits. 
I did go ahead and """"wikify"""" a couple of your new entries for you so that they look and work like similar articles here. Cheers! maveric149"""
r69NDTcw/Gf1r56OTq+xQ7J0wWE=,"Note to Eclecticology: Hum, you just brought to my attention a naming conflict for two cities named Paris over at List of places and things named Paris. Are their other such conflicts within Canada? And if so are most of these between Ontario and the rest of Canada? The city naming convention was debated and worked out on the wikipedia mailing list and in several other places – it would have been nice to know of any possible systemic internal naming conflicts within Canada. Maybe this is one of the few exceptions that we can disambiguate on a case-by-case basis… What is the population of each of these Canadian Paris’? Is it at all likely that either of these will become encyclopedia articles? maveric149 "
6G/6M9Oxq7PsjOvDtAuSrj3DJ9c=,"""
 

Gjalexei, you asked about whether there is an """"anti-editorializing"""" policy here.  There is, and it's called wikipedia:neutral point of view.  It discusses at some length  the case of what we should do when writing about a subject which most of us find repugnant.  Whilst you're not likely to get too many defenders of FGM here, the need for the policy should be clearer for articles like abortion, for instance.

If something you write is edited and you're not sure why, please continue to question such edits on the talk page.  Sometimes, you'll learn more about wikipedia policy.  Sometimes, you'll find out that some other people working on here can get it flat-out wrong ) Robert Merkel"""
CgCi1pdcmd9a95z8AM27Dk+9GZo=,"7.11.02 1610 - Mav: This open source encyclopedia is an awesome living example of the viral growth of living information.  Thanks again for being gentle with a newbie...   btw, at times the server seems to be v-e-r-y slow in serving pages.  Are there plans to upgrade the host?  Gjalexei"
1c0II34seEIfBxh3Esr+f5poUf4=,A new classification table is at Hominid. maveric149
GxDEQvxhA+pDA6cp4nzNuJ9Dy+o=,"""]

 When I'm angry, I can't write from the NPOV. I've let articles I care deeply about languish for over a week at a time, until I could calm down enough to conform to wikipolicy. The more important the issue, and the more """"right"""" I am, the fiercer my anger. Some issues require Olympian detachment to describe properly. My hat's off to anyone who can do it. (And where's Larry when you need him? ) """
0MlSNTsJ9gPIVzAVNIrTyaqPhbo=,"""

I'm not sure if it's properly called """"fifth tuning"""" or """"perfect fifth tuning"""" or what, but it does exist. The octave is slightly sharper than twice the frequency, but according to the book it sounds better that way because the first overtone of a piano is itself sharp. I don't have a piano, so I've never tried it; besides, the second overtone is even sharper than the first (stiff strings do that). -"""
5NMg984cRXZhH91yBwYRzgO3U1c=,"""

Announcement
I have compared Helga's original version and Helga's condensed version to each other as promised.  To be fair, Helga only claimed to have condensed, and not re-written the article.  in this, she is completely correct.  The problem, however, is that this condensation in no way makes the article less of a copyright violation.  As written, there is no way that this should be included on the site, IMO.  I have included the article below, with questions and comments(in bold) that I think must be answered in order to make the article useful and not just another way of trying to prove that Copernicus was Prussian.  That said, I really think that this deserves no more than a couple of lines in the Copernicus article.  Thanks all for bearing with me and helping make this work.  Helga, plese help out by answering the questions   and perhaps even doing a bit more research  so that we can work together to make this a well-written, meaninful, article. 

Copernicus as Ermland Administrator and the Prussian Coin Reform

Nicolaus Copernicus is today world famous as Astronomer, but at home he wore many different hats. Amongst other positions he held, he was Nicolaus Copernicus Thornensis Prussus Mathematicus, the Prussian mathematician from Thorn. 

This really isn't a position, I don't think  he wasn't hired as a city mathemetician.  Also, I think there should at least be some kind of connection for new readers as to how the whole Ermeland/Thorn/Prussia thing works  it is very unhelpful to assume that the reader will know that one is a city, the other a region, the other a principality, etc...

In the Copernicus manustript an entry from December 1603 states in partial ...Nicolai Copernick Canonici Varmiensis, in Borussia Germaniae mathematici...
In what manuscript? this appears to be a random comment, and doesn't make much sense  

Besides being a church canon and administering as physician to his people, Nicolaus Copernicus worked with the other Prussian states on coin reform. 
Again, reference?  What Prussian states?  What does this mean in practical terms?

The situation in Prussia as well as in other parts of Europe in the years before, during and after the Reformation became very insecure and confused. 
Copernicus died in 1543  well before the Peace of Augsburg  Although this statement is correct, I'm not sure how Copernicus the church canon, physician, astronomer, etc., fits in.  

There were cities in Prussia that fought for keeping the government of the Catholic Teutonic Knights and others, who fought to get the Papal domination out and to become Protestant. During this time the crown of Poland, held by the Lithuanian Jagiello’s, married to the imperial Habsburg's had some limited influence in the politics of Prussia. Sigismund I wanted the Prussian cities to give up their right to mint coins. The leading cities of Prussia, Thorn, Danzig and Elbing declared, never would they give up their individual city rights to mint coins. Minting coins was a right given by the emperor and giving up this right would mean loss of sovereignty . 

This helps to explain something about the former, in that it sets up a Catholic-Protestent conflict.  My questions: 

What cities, if any, were ruled by the Teutonic Knights at the time  or was it all of Prussia?  
Does this have something to do with either the Second treaty of Thorn or the abdication of Albrecht of Prussia from his position as Grand Master of the Teutonic Knights?  From the other info on the site, it looks like there may have been some conflict over jurisdiction between Albrecht and his heirs and the TKs, who began to get their Grand Masters by imperial appointment (and from the impreial  read Habsburg  family)
How do the Jagiellos fit in?  Is their involvement because of their distant connection to the Habsburgs, as Helga implies?  or because (as we know from other articles) at one point, residents of the area had appealed to the Polish rulers for help in overthrowing the Teutonic Knights?
'''Could the objections of the cities mentioned not have something to do with their being members of the Hansa  a group notoriously jealous of their independence and privileges?  In answer to the much-anticipated imperial comment, viz., that the objections had  to do with an infringement of imperial right and law, I cry bullshit.  The Hansa cities regularly played off their position between the emperors and other rulers  Emperors could grant them independence from local rule, but the cities fought hard to keep the emperors from having too much control.  They, like rich bankers like the Fuggers and Welsers, used their economic sway as much as possible to influence th"
4kHaZuKo87efjbxdBLfURySs5ZI=," You have a valid point,, thanks... any other opinions? "
+e22QEtPw5S89MMxbnjnW1Fxz4k=,Some crossword grids don't have black squares  instead some gridlines are bold.
6h23IjJ/hhZhLHlG7N+HsdaXMMU=,"I didn't, I simply merged it in with the entry about aphids.  There are a lot of creatures that have symbiotic relationships with ants, so that only the very most notable should be listed, except maybe on a second page."
r+H6FIdcmvxvNA7Wj4goqfzfjEM=," Thanks for your help.... I am not sure about the redirecting part, if I didn't do it right, please fix for me or instruct.  I am still unclear, but I tried my best.  Thanks for your suggestions.luckymama58"
UcQneNW4v7I42g3WAYpdOHTAVJg=,"Hello there, welcome to the 'pedia! I hope you like the place and decide to stay. If you need any questions answered about the project then check out Wikipedia:Help or add a question to the Village pump. Cheers! maveric149"
ZtDv+GPUHMk1VQ3mq5b3ds3mhnU=,"""



Sorry, it seems I walked on your feet. If you really want the move, please do it, I will no longer interfere.

BTW, to copy pages and preserve their formatting, I suggest you do this:
 edit the page
 copy the text in the edit form
 edit the new page
 paste the copied text in the edit form

To see the ingoing links you need to correct, click on """"What links here"""" at the bottom of a page.

 13:34 Aug 26, 2002 (PDT)"""
5is3MUxsxM1HQeqbZEm5sl9xw9c=,"""

 At the end of the day, it's all arbitrary. The Earth rotates about an axis. One end is called """"north"""", the other """"south"""".  """
bAH9bqfczwwSeQGJcvIpMOSW0jc=,"No, it is not the same as the Fischer clock. The Bronstein clock would already get closer, as in byo-yomi like in Bronstein but unlike Fischer one cannot 'save up' time for the next move. However, byo-yomi differs from both systems because the extra time is only received when the normal playing time has already been lost, whereas the Fischer and Bronstein systems do it from the first move on. "
xpMPHZC3DHjQAAttqYW97WY0Vd8=,"""

Be lenient on Topory aka Piotr Parda. He is an honest guy. These images are
intended for the Polish Wikipedia. I guess.

It's completely fine if they are for the Polish Wikipedia  there is just no easy way to find this out unless people state this in their uploads. Simply saying """"Polska Wikipedia"""" would be clear enough for me to take at face value. mav"""
em+6gU/1PG+eaPcGslcxabLtf14=,"That's reasonable enough; I just saw the conflict on this one page and not on the rest.  I don't know details of it either, and if I had noticed the rest I probably would have been suspicious also (like Mav, below).  Also like mav, though, I probably would have noted why I reverted any changes on the article's talk page.  Best,  "
7ljEtMYqLjnq/ZtPMeemjRzCvBw=,ok i'll come back. But i get annoyed when ppl have more power than others. - fonzy
Xrc9QURDYNTg7LIpMpeS/dZ+R/w=," 
Thanks on the info on how to move a page. re:   The Walt Disney Company. [User:Christopher Mahan|Chris Mahan] 20020906"
VQW2ZxQntxrkEObocUxTZXaLIZc=,"Fair enough.  I'm doing this and then going to bed.   04:05 Sep 9, 2002 (UTC)"
1lYsTBl5jz29gFAWDem7jLGEon8=,"""

 To attempt to briefly several of Ed's questions from what I can only hope is an Eastern Orthodox Christian POV:
 * Nothing """"compels"""" a just God to """"enforce"""" a person's separation from Him, save the principle of the person's free will. If a person chooses not to love God, or chooses a life separate from God, that amounts to the same as choosing death, since they are cutting themselves off from the ultimate source of life. Looking at the word """"perish"""" in John 3:16, in Greek it is in neither active nor passive voice, but rather """"middle voice"""", which means a better translation would be """"whoever does not believe in him will destroy himself"""". Living in the presence of an all-loving God while rejecting that love is how some Orthodox theologians describe Hell; hence, God's love is sometimes described as a """"river of fire"""". Hence both God's goodness and justice are preserved, as well as each person's free will.
 * Also, Jesus did not have to die. To say that he was forced to die would imply that some external force or law is greater than God and forced God to act against His will. Eastern Orthodoxy has always rejected this notion, and rather says that Jesus chose to lay down his life in order trample down death by death. When Death tried to swallow up the the Giver of Life, Death's power was overcome. As for alternative plans, none are discussed, but that's not the same as saying that God had no choice or was compelled by something or someone else. Some Church Fathers speak of Christ triumphantly mounting the Cross like a steed.
 * The Jews did not have to accept Jesus as their Messiah. He simply was their Messiah; it was not an elected office, and their choices did not change this fact, did not prevent his triumphant death or his resurrection. Many Jews did believe in him, many more did not.
 Hope this helps. I'll have to look another time at whether or how any of this should affect the article, as I'm obviously coming in very late to an old discussion.  17:15 Sep 9, 2002 (UTC)"""
